STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,SCALING,COMMENTS
OA.TPBS.POP.P,,,,,,,sum,0,,
OA.TPBS.POP.P3,,,,,,,sum,0,,
OA.TPBS.POP.GR10,OA.TPBS.POP.P,,OA.TPBS.POP.P,growth,10,geo,weighted.mean,0,,
OA.TPR.POP.P,,,,,,,sum,0,,
OA.TPR.POP.ZS,OA.TPR.POP.P,OA.TPBS.POP.P,OA.TPBS.POP.P,share,,,weighted.mean,0,100,
OA.TPU.POP.P,,,,,,,sum,0,,
OA.TPU.POP.PPL.SHP,OA.TPU.POP.P,OA.TPBS.POP.P,OA.TPBS.POP.P,share,,,weighted.mean,0,100,
SH.DYN.MORT,,,,,,,discard,,,
SP.DYN.LE00.IN,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
SH.DTH.COMM.ZS,,,,,,,discard,,,
SH.DTH.NCOM.ZS,,,,,,,discard,,,
SH.DTH.INJR.ZS,,,,,,,discard,,,
WSS.SAN.OD.PCT,,,,,,,discard,,,
SH.STA.BRTW.ZS,,,,,,,discard,,,
SH.STA.WAST.MA.ZS,,,,,,,discard,,,
SH.STA.WAST.FE.ZS,,,,,,,discard,,,
SH.SVR.WAST.MA.ZS,,,,,,,discard,,,
SH.SVR.WAST.FE.ZS,,,,,,,discard,,,
SH.STA.STNT.MA.ZS,,,,,,,discard,,,
SH.STA.STNT.FE.ZS,,,,,,,discard,,,
SH.STA.MALN.MA.ZS,,,,,,,discard,,,
SH.STA.MALN.FE.ZS,,,,,,,discard,,,
SH.STA.OWGH.MA.ZS,,,,,,,discard,,,
SH.STA.OWGH.FE.ZS,,,,,,,discard,,,
N.A.OO.PCT,,,,,,,discard,,,
N.A.OOMA.PCT,,,,,,,discard,,,
N.A.OOFE.PCT,,,,,,,discard,,,
SH.PRG.ANEM,,,,,,,discard,,,
SH.ANM.NPRG.ZS,,,,,,,discard,,,
SN.ITK.VITA.ZS,,,,,,,discard,,,
SN.ITK.SALT.ZS,,,,,,,discard,,,
SH.STA.BFED.ZS,,,,,,,discard,,,
N.D.MDDIYC.PCT,,,,,,,discard,,,
N.D.MMFIYC.PCT,,,,,,,discard,,,
FBS.PCS.CRLS.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.CRLS.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.CRLS.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.CRLS.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.CRLS.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.CRLS.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SR.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.SR.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SR.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.SR.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SR.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.SR.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SS.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.SS.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SS.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.SS.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.SS.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.SS.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.PLS.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.PLS.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.PLS.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.PLS.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.PLS.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.PLS.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.TRNT.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.TRNT.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.TRNT.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.TRNT.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.TRNT.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.TRNT.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OCRPS.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.OCRPS.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OCRPS.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.OCRPS.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OCRPS.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.OCRPS.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VO.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.VO.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VO.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.VO.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VO.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.VO.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VGT.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
