Country,Year,AQ.WAT.IRRPOT.HA.NO
Afghanistan,2012,
Albania,2012,
Algeria,2012,510
Andorra,2012,
Angola,2012,  3 700
Antigua and Barbuda,2012,0
Argentina,2012,  6 128
Armenia,2012,666
Australia,2012,
Austria,2012,
Azerbaijan,2012,  3 200
Bahamas,2012,
Bahrain,2012,4
Bangladesh,2012,  6 933
Barbados,2012,4
Belarus,2012,
Belgium,2012,
Belize,2012,
Benin,2012,322
Bhutan,2012,
Bolivia (Plurinational State of),2012,  2 000
Bosnia and Herzegovina,2012,
Botswana,2012,13
Brazil,2012,  29 350
Brunei Darussalam,2012,
Bulgaria,2012,
Burkina Faso,2012,165
Burundi,2012,215
Cambodia,2012,
Cameroon,2012,290
Canada,2012,
Cape Verde,2012,3
Central African Republic,2012,  1 900
Chad,2012,335
Chile,2012,  2 500
China,2012,  70 000
Colombia,2012,  6 589
Comoros,2012,0
Congo,2012,340
Cook Islands,2012,
Costa Rica,2012,430
Côte d'Ivoire,2012,475
Croatia,2012,
Cuba,2012,  2 700
Cyprus,2012,37
Czech Republic,2012,
Democratic People's Republic of Korea,2012,
Democratic Republic of the Congo,2012,  7 000
Denmark,2012,
Djibouti,2012,2
Dominica,2012,
Dominican Republic,2012,710
Ecuador,2012,  3 136
Egypt,2012,  4 420
El Salvador,2012,200
Equatorial Guinea,2012,30
Eritrea,2012,188
Estonia,2012,150
Ethiopia,2012,  2 700
Faroe Islands,2012,
Fiji,2012,
Finland,2012,
France,2012,
French Guiana,2012,
Gabon,2012,440
Gambia,2012,80
Georgia,2012,725
Germany,2012,
Ghana,2012,  1 900
Greece,2012,
Grenada,2012,
Guatemala,2012,  2 620
Guinea,2012,520
Guinea-Bissau,2012,281
Guyana,2012,
Haiti,2012,143
Holy See,2012,
Honduras,2012,500
Hungary,2012,
Iceland,2012,
India,2012,  139 500
Indonesia,2012,  10 886
Iran (Islamic Republic of),2012,  15 000
Iraq,2012,  5 554
Ireland,2012,
Israel,2012,
Italy,2012,
Jamaica,2012,188
Japan,2012,
Jordan,2012,85
Kazakhstan,2012,  3 768
Kenya,2012,539
Kiribati,2012,
Kuwait,2012,25
Kyrgyzstan,2012,  2 247
Lao People's Democratic Republic,2012,600
Latvia,2012,
Lebanon,2012,178
Lesotho,2012,13
Liberia,2012,600
Libya,2012,40
Liechtenstein,2012,
Lithuania,2012,200
Luxembourg,2012,
Madagascar,2012,  1 517
Malawi,2012,162
Malaysia,2012,414
Maldives,2012,
Mali,2012,566
Malta,2012,2
Marshall Islands,2012,
Mauritania,2012,250
Mauritius,2012,33
Mexico,2012,  9 766
Micronesia (Federated States of),2012,
Monaco,2012,
Mongolia,2012,518
Montenegro,2012,
Morocco,2012,  1 664
Mozambique,2012,  3 072
Myanmar,2012,  10 500
Namibia,2012,47
Nauru,2012,
Nepal,2012,  2 178
Netherlands,2012,
New Zealand,2012,
Nicaragua,2012,700
Niger,2012,270
Nigeria,2012,  2 331
Niue,2012,
Norway,2012,
Occupied Palestinian Territory,2012,80
Oman,2012,
Pakistan,2012,  21 300
Palau,2012,
Panama,2012,187
Papua New Guinea,2012,36
Paraguay,2012,
Peru,2012,  6 411
Philippines,2012,  3 126
Poland,2012,
Portugal,2012,
Puerto Rico,2012,
Qatar,2012,52
Republic of Korea,2012,  1 782
Republic of Moldova,2012,  1 500
Romania,2012,  5 500
Russian Federation,2012,  29 000
Rwanda,2012,165
Saint Kitts and Nevis,2012,
Saint Lucia,2012,
Saint Vincent and the Grenadines,2012,
Samoa,2012,
San Marino,2012,
Sao Tome and Principe,2012,11
Saudi Arabia,2012,
Senegal,2012,409
Serbia,2012,
Seychelles,2012,1
Sierra Leone,2012,807
Singapore,2012,
Slovakia,2012,
Slovenia,2012,
Solomon Islands,2012,
Somalia,2012,240
South Africa,2012,  1 500
Spain,2012,
Sri Lanka,2012,570
Sudan and South Sudan,2012,  2 784
Suriname,2012,
Swaziland,2012,93
Sweden,2012,
Switzerland,2012,
Syrian Arab Republic,2012,
Tajikistan,2012,755
Thailand,2012,  12 245
The former Yugoslav Republic of Macedonia,2012,
Timor-Leste,2012,
Togo,2012,180
Tokelau,2012,
Tonga,2012,
Trinidad and Tobago,2012,30
Tunisia,2012,560
Turkey,2012,  8 500
Turkmenistan,2012,  2 353
Tuvalu,2012,
Uganda,2012,90
Ukraine,2012,  5 500
United Arab Emirates,2012,
United Kingdom,2012,
United Republic of Tanzania,2012,  2 132
United States of America,2012,
Uruguay,2012,  1 760
Uzbekistan,2012,  4 915
Vanuatu,2012,
Venezuela (Bolivarian Republic of),2012,  1 700
Viet Nam,2012,  9 400
Yemen,2012,
Zambia,2012,523
Zimbabwe,2012,366
