Country,Year,AQ.WAT.WATPCP.MC.NO
Afghanistan,1990, 4 988
Albania,1990, 12 679
Algeria,1990,461
Andorra,1990, 5 955
Angola,1990, 14 320
Antigua and Barbuda,1990,839
Argentina,1990, 24 937
Armenia,1990, 2 192
Australia,1990, 28 779
Austria,1990, 10 129
Azerbaijan,1990,
Bahamas,1990,78
Bahrain,1990,235
Bangladesh,1990, 11 657
Barbados,1990,308
Belarus,1990, 5 653
Belgium,1990, 1 842
Belize,1990, 97 632
Benin,1990, 5 529
Bhutan,1990, 139 535
Bolivia (Plurinational State of),1990, 93 497
Bosnia and Herzegovina,1990,
Botswana,1990, 8 857
Brazil,1990, 55 015
Brunei Darussalam,1990, 33 730
Bulgaria,1990, 2 415
Burkina Faso,1990, 1 341
Burundi,1990, 2 238
Cambodia,1990, 49 948
Cameroon,1990, 23 438
Canada,1990, 104 762
Cape Verde,1990,862
Central African Republic,1990, 49 199
Chad,1990, 7 154
Chile,1990, 69 912
China,1990, 2 424
Colombia,1990, 64 211
Comoros,1990, 2 740
Congo,1990, 348 263
Cook Islands,1990,
Costa Rica,1990, 36 612
Côte d'Ivoire,1990, 6 482
Croatia,1990,
Cuba,1990, 3 606
Cyprus,1990, 1 017
Czech Republic,1990,
Democratic People's Republic of Korea,1990, 3 830
Democratic Republic of the Congo,1990, 35 241
Denmark,1990, 1 167
Djibouti,1990,534
Dominica,1990,
Dominican Republic,1990, 2 919
Ecuador,1990, 41 360
Egypt,1990, 1 008
El Salvador,1990, 4 731
Equatorial Guinea,1990, 69 519
Eritrea,1990,
Estonia,1990, 8 154
Ethiopia,1990,
Faroe Islands,1990,
Fiji,1990, 39 217
Finland,1990, 22 062
France,1990, 3 721
French Guiana,1990,1 145 299
Gabon,1990, 176 534
Gambia,1990, 8 282
Georgia,1990, 11 599
Germany,1990, 1 947
Ghana,1990, 3 596
Greece,1990, 7 307
Grenada,1990,
Guatemala,1990, 12 473
Guinea,1990, 39 243
Guinea-Bissau,1990, 30 482
Guyana,1990, 332 414
Haiti,1990, 1 969
Holy See,1990,
Honduras,1990, 19 622
Hungary,1990, 10 023
Iceland,1990, 666 667
India,1990, 2 187
Indonesia,1990, 10 952
Iran (Islamic Republic of),1990, 2 506
Iraq,1990, 4 352
Ireland,1990, 14 727
Israel,1990,396
Italy,1990, 3 366
Jamaica,1990, 3 976
Japan,1990, 3 517
Jordan,1990,274
Kazakhstan,1990, 6 546
Kenya,1990, 1 309
Kiribati,1990,
Kuwait,1990,10
Kyrgyzstan,1990, 11 138
Lao People's Democratic Republic,1990, 79 556
Latvia,1990, 13 272
Lebanon,1990, 1 527
