Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2000,522822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2001,526969,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2002,530912,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2003,534861,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2004,538928,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2005,544044,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2006,548688,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2007,551039,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2008,554813,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2009,558393,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2010,561728,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2011,564801,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2012,567593,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2013,570049,A,"Aggregate, may include official, semi-official, estimated or calculated data"
OA,Annual population,5000,World,603,Female economically active population in Agr,3010,Population - Est. & Proj.,2014,572131,A,"Aggregate, may include official, semi-official, estimated or calculated data"
,,,,,,,,,,,
FAOSTAT Date: Mon Jun 22 10:25:58 CEST 2015,,,,,,,,,,,
