,,,,,,,,Capture production,,,,,,Aquaculture production,,,,,
Continent_en,Continent_code,Geographical _regions_en,Geographical _regions,Join,Country_en,UN_code,Published,"2000
Total","2012
Total","2013
Total","2013
Inland waters","2013
Marine areas",Average annual growth 2000-2013,"2000
Total","2012
Total","2013
Total","2013
Inland waters","2013
Marine areas",Average annual growth 2000-2013
,,,,,,,,,(Thousand tonnes),,,,%,,(Thousand tonnes),,,,%
WORLD,WORLD,,WORLD,Grand Total,,,1,93526,91306,92573,11688,80885,-0.1,32418,66477,70190,44685,25505,6.1
Others,XXX,NEI,XXX,XXX-XXX Total,,,0,240,32,83,0,83,-7.8,0,0,0,0,0,
Others,XXX,NEI,XXX,XXX-XXX,Other nei,896,0,240,32,83,,83,-7.8,,,,,,
Africa,002,,,002 Total,,,1,6770,8235,7990,2847,5143,1.3,400,1485,1616,1594,22,11.3
Africa,002,Eastern Africa,014,002-014 Total,,,1,1204,1740,1775,1318,457,3.0,17,156,171,164,7,19.6
Africa,002,Eastern Africa,014,002-014,British Indian Ocean Ter,086,0,0,0,0,,0,,,,,,,
Africa,002,Eastern Africa,014,002-014,Burundi,108,1,17,12,13,13,,-2.0,0,0,0,0,,9.6
Africa,002,Eastern Africa,014,002-014,Comoros,174,1,12,12,10,0,10,-1.1,,,,,,
Africa,002,Eastern Africa,014,002-014,Djibouti,262,1,1,2,2,0,2,6.0,,,,,,
Africa,002,Eastern Africa,014,002-014,Eritrea,232,1,13,4,4,0,4,-8.5,0,0,0,,0,
Africa,002,Eastern Africa,014,002-014,Ethiopia,231,1,16,29,38,38,0,7.1,0,0,0,0,,8.9
Africa,002,Eastern Africa,014,002-014,Kenya,404,1,215,159,163,154,9,-2.1,1,21,24,24,0,34.2
Africa,002,Eastern Africa,014,002-014,Madagascar,450,1,120,117,104,23,81,-1.1,7,9,9,4,5,1.6
Africa,002,Eastern Africa,014,002-014,Malawi,454,1,50,125,112,112,,6.4,1,3,4,4,,16.1
Africa,002,Eastern Africa,014,002-014,Mauritius,480,1,10,7,7,0,7,-2.1,0,1,0,0,0,14.1
Africa,002,Eastern Africa,014,002-014,Mayotte,175,1,3,3,3,,3,-0.4,0,0,0,,0,31.8
Africa,002,Eastern Africa,014,002-014,Mozambique,508,1,41,213,222,85,137,13.8,0,1,1,1,0,
Africa,002,Eastern Africa,014,002-014,Réunion,638,1,4,2,3,0,3,-3.2,0,0,0,0,0,-1.6
Africa,002,Eastern Africa,014,002-014,Rwanda,646,1,7,19,24,24,,10.1,0,1,1,1,,12.0
Africa,002,Eastern Africa,014,002-014,Seychelles,690,1,33,69,74,0,74,6.5,0,0,0,,0,
Africa,002,Eastern Africa,014,002-014,Somalia,706,1,24,30,30,0,30,1.7,,,,,,
Africa,002,Eastern Africa,014,002-014,South Sudan,728,0,0,37,37,37,,0.0,0,0,0,0,,0.0
Africa,002,Eastern Africa,014,002-014,"Tanzania, United Rep. of",834,1,340,404,412,315,97,1.5,0,3,3,3,0,24.1
Africa,002,Eastern Africa,014,002-014,Uganda,800,1,219,408,419,419,,5.1,1,96,98,98,,44.5
Africa,002,Eastern Africa,014,002-014,Zambia,894,1,67,76,87,87,,2.0,4,13,20,20,,12.8
Africa,002,Eastern Africa,014,002-014,Zimbabwe,716,1,13,11,11,11,,-1.7,2,8,10,10,,12.6
Africa,002,Middle Africa,017,002-017 Total,,,1,795,894,926,506,421,1.2,3,5,5,5,0,3.7
Africa,002,Middle Africa,017,002-017,Angola,024,1,239,277,275,10,265,1.1,0,0,0,0,,41.4
Africa,002,Middle Africa,017,002-017,Cameroon,120,1,112,137,153,75,78,2.4,0,1,1,1,,24.2
Africa,002,Middle Africa,017,002-017,Central African Republic,140,1,15,32,30,30,,5.5,0,0,0,0,,1.2
Africa,002,Middle Africa,017,002-017,Chad,148,1,83,100,120,120,,2.9,,,,,,
Africa,002,Middle Africa,017,002-017,Congo,178,1,46,81,73,36,37,3.6,0,0,0,0,,4.6
