Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
TP,Crops and livestock products,5000,World,5622,Import Value,1883,Food and Animals,2012,918625191,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5000,World,5622,Import Value,1982,Food Excl Fish,2012,967028347,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5000,World,5922,Export Value,1883,Food and Animals,2012,902308704,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5000,World,5922,Export Value,1982,Food Excl Fish,2012,945572218,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5100,Africa,5622,Import Value,1883,Food and Animals,2012,63681978,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5100,Africa,5622,Import Value,1982,Food Excl Fish,2012,70138799,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5100,Africa,5922,Export Value,1883,Food and Animals,2012,28720173,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5100,Africa,5922,Export Value,1982,Food Excl Fish,2012,28015348,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5200,Americas,5622,Import Value,1883,Food and Animals,2012,159118087,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5200,Americas,5622,Import Value,1982,Food Excl Fish,2012,153983976,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5200,Americas,5922,Export Value,1883,Food and Animals,2012,265714183,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5200,Americas,5922,Export Value,1982,Food Excl Fish,2012,291904140,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5300,Asia,5622,Import Value,1883,Food and Animals,2012,263858408,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5300,Asia,5622,Import Value,1982,Food Excl Fish,2012,325015215,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5300,Asia,5922,Export Value,1883,Food and Animals,2012,159949891,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5300,Asia,5922,Export Value,1982,Food Excl Fish,2012,181140727,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5400,Europe,5622,Import Value,1883,Food and Animals,2012,417829054,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5400,Europe,5622,Import Value,1982,Food Excl Fish,2012,405221083,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5400,Europe,5922,Export Value,1883,Food and Animals,2012,403244258,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5400,Europe,5922,Export Value,1982,Food Excl Fish,2012,398976380,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5500,Oceania,5622,Import Value,1883,Food and Animals,2012,14137664,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5500,Oceania,5622,Import Value,1982,Food Excl Fish,2012,12669275,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5500,Oceania,5922,Export Value,1883,Food and Animals,2012,44680199,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5500,Oceania,5922,Export Value,1982,Food Excl Fish,2012,45535623,A,"Aggregate, may include official, semi-official, estimated or calculated data"
,,,,,,,,,,,
FAOSTAT Date: Sun May 31 17:00:22 CEST 2015,,,,,,,,,,,
