DATA_KEY_PROC,DATA_KEY_CONSTR1,DATA_KEY_CONSTR2,DATA_KEY_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,NAtoZERO,SCALING,COMMENTS,
POP.TOT,,,,,,,sum,,,,
POP.TOT.GR10,POP.TOT,,POP.TOT,growth,10,ls,weighted.mean,,,,
POP.TOT.GR11,POP.TOT,,POP.TOT,growth,11,ls,weighted.mean,,,,
POP.MALE,,,,,,,sum,,,,
POP.MALE.SHP,POP.MALE,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.FEMALE,,,,,,,sum,,,,
POP.FEMALE.SHP,POP.FEMALE,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.URBAN,,,,,,,sum,,,,
POP.URBAN.SHP,POP.URBAN,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.URBAN.GR11,POP.URBAN,,POP.URBAN,growth,11,geo,weighted.mean,,,,
POP.RURAL,,,,,,,sum,,,,
POP.RURAL.SHP,POP.RURAL,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.RURAL.GR11,POP.RURAL,,POP.RURAL,growth,11,geo,weighted.mean,,,,
POP.0014,,,,,,,sum,,,,
POP.0014.SHP,POP.0014,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.1564,,,,,,,sum,,,,
POP.1564.SHP,POP.1564,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
POP.6500,,,,,,,sum,,,,
POP.6500.SHP,POP.6500,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
AG.LND.TOTL.K2,,,,,,,sum,,,used to weight density,
EN.POP.DNST,,,AG.LND.TOTL.K2,,,,weighted.mean,,,WB computes aggregates deriving the already aggregated components,
OA.AGR.POP.PPL.NO,,,,,,,sum,,,,
OA.AGR.POP.PPL.SH,OA.AGR.POP.PPL.NO,POP.TOT,POP.TOT,share,,,weighted.mean,,100,,
OA.AGR.POP.PPL.GR20,OA.AGR.POP.PPL.NO,,OA.AGR.POP.PPL.NO,growth,20,geo,weighted.mean,,,,
EN.URB.LCTY,,,,,,,,,,WB doesn't aggregate this variable,
EN.URB.LCTY.UR.ZS,,,POP.URBAN,,,,weighted.mean,,,,
EN.URB.MCTY,,,,,,,,,,WB doesn't aggregate this variable,
