STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,MODULE_FSI,MODULE_POU,MODULE_DES,COMMENTS
POPULATION_2013,,,,,,,sum,0,0,,,POU,DES,
AV3YPOP_2013,,,,,,,sum,0,0,,,POU,DES,
CV_2013,,,,,,,discard,,,,,POU,DES,
SK_2013,,,,,,,discard,,,,,POU,DES,
LOSS_2013,,,,,,,discard,,,,,POU,DES,
DES_2013,,,POPULATION_2013,,,,weighted.mean,0,15,,,POU,DES,
MDER_1.55_2013,,,POPULATION_2013,,,,weighted.mean,0,15,,,POU,DES,
AV3YMDER_1.55_2013,,,AV3YPOP_2013,,,,weighted.mean,0,15,,,POU,DES,
AV3YDES_2013,,,AV3YPOP_2013,,,,weighted.mean,0,15,,,POU,DES,
DEC_2013,,,POPULATION_2013,,,,weighted.mean,0,15,,,POU,DES,
AV3YDEC_2013,,,AV3YPOP_2013,,,,weighted.mean,0,15,,,POU,DES,
POU_2013,,,POPULATION_2013,,,,weighted.mean,0,15,,,POU,DES,
AV3YPOU_2013,,,AV3YPOP_2013,,,,weighted.mean,0,15,,,POU,DES,
NOU_2013,,,,,,,sum,0,0,,,POU,DES,
AV3YNOU_2013,,,,,,,sum,0,0,,,POU,DES,
XDER_2.10_2013,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
PCO_2013,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
NCO_2013,,,,,,,sum,0,0,,,POU,,
POPULATION,,,,,,,sum,0,0,,FSI,POU,DES,
AV3YPOP,,,,,,,sum,0,0,,FSI,POU,DES,
POPULATION_CONST1990,,,,,,,sum,0,0,,,POU,,
AV3YPOPULATION_CONST1990,,,,,,,sum,0,0,,,POU,,
SH.DYN.MORT,,,,,,,discard,,,,FSI,POU,DES,
EERDP,,,,,,,discard,,,,FSI,POU,DES,
MDER_1.55,,,POPULATION,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YMDER_1.55,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YMDER_1.55.DISS,,,,,,,discard,,,,FSI,,,
MDER_1.55CONST1990,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YMDER_1.55CONST1990,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
MDER_1.75,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YMDER_1.75,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
AV3YMDER_1.75.DISS,,,,,,,discard,,,,FSI,,,
ADER_1.85,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
AV3YADER_1.85,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,,,
AV3YADER_1.85.DISS,,,,,,,discard,,,,FSI,,,
ADER_1.55,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
XDER_2.10,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
DES,,,POPULATION,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YDES,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,POU,DES,
DESIMP,,,,,,,discard,,,,FSI,POU,,
AV3YDES.DISS,,,,,,,discard,,,,FSI,,,
DES_CONST1990CONSTPOP,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YDES_CONST1990CONSTPOP,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
DES_CONSTPOP,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YDES_CONSTPOP,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
DES_changePOP,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YDES_changePOP,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
DEC_changePOP,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YDEC_changePOP,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
LOSS,,,,,,,discard,,,,FSI,POU,DES,
LOSS.DISS,,,,,,,discard,,,,FSI,,,
LOSS_CONST1990,,,,,,,discard,,,,,POU,,
DEC,,,POPULATION,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YDEC,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,POU,DES,
DEC_CONST1990CONSTPOP,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YDEC_CONST1990CONSTPOP,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
DEC_CONSTPOP,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YDEC_CONSTPOP,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
CV,,,,,,,discard,,,,FSI,POU,DES,
CV_CONST1990,,,,,,,discard,,,,,POU,,
SK,,,,,,,discard,,,,FSI,POU,DES,
SK_CONST1990,,,,,,,discard,,,,,POU,,
POU_DISTR,,,,,,,discard,,,,FSI,POU,DES,
NOU,,,,,,,sum,0,0,,FSI,POU,DES,
AV3YNOU,,,,,,,sum,0,0,,FSI,POU,DES,
AV3YNOU.DISS,,,,,,,discard,,,,FSI,,,
POU,,,POPULATION,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YPOU,,,AV3YPOP,,,,weighted.mean,0,15,,FSI,POU,DES,
AV3YPOU.DISS,,,,,,,discard,,,,FSI,POU,,
POU_1990,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_1990,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
POU_changeTFS,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_changeTFS,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
POU_changePOP,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_changePOP,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
POU_changeMDER,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_changeMDER,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
POU_changeCVSK,,,POPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_changeCVSK,,,AV3YPOPULATION_CONST1990,,,,weighted.mean,0,15,,,POU,,
PCO,,,POPULATION,,,,weighted.mean,0,15,,FSI,,,
NCO,,,,,,,sum,0,0,,FSI,,,
DES_2013pop2014,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YDES_CPMDER,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
DEC_CPMDER,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YDEC_CPMDER,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
POU_CPMDER,,,POPULATION,,,,weighted.mean,0,15,,,POU,,
AV3YPOU_CPMDER,,,AV3YPOP,,,,weighted.mean,0,15,,,POU,,
NOU_CPMDER,,,,,,,sum,0,0,,,POU,,
AV3YNOU_CPMDER,,,,,,,sum,0,0,,,POU,,
