DATA_KEY,SERIES_NAME,SERIES_NAME_SHORT,QUANTITY,ORIG_UNIT,INFO,OWNER,SOURCE,DATA_TYPE,SQL_DOMAIN_CODE,SQL_ELEMENT_CODE,SQL_ITEM_CODE,WDINAME,COMMENTS,TOPIC
POP.TOT,"Population, total",Population,thousand,people,"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. The values shown are midyear estimates.","United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
POP.TOT.GR10,Population annual growth (percent),Population,,percent,,,United Nations Population Division,processed,,,,,,population
POP.TOT.GR10,Population annual growth (percent),Population,,percent,,,United Nations Population Division,processed,,,,,,population
POP.MALE,"Male population, total",Male,thousand,people,Male population.,"United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
POP.MALE.SHP,Male population (share of total population),Male,,percent,,,United Nations Population Division,processed,,,,,,population
POP.FEMALE,"Female population, total",Female,thousand,people,Female population.,"United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
POP.FEMALE.SHP,Female population (share of total population),Female,,percent,,,United Nations Population Division,processed,,,,,,population
POP.URBAN,"Urban population, total",Urban,thousand,people,Urban population refers to people living in urban areas as defined by national statistical offices.,"United Nations Population Division, World Urbanization Prospects.",United Nations Population Division,raw,,,,,,population
POP.URBAN.SHP,Urban population (share of total population),Urban,,percent,,,United Nations Population Division,processed,,,,,,population
POP.URBAN.GR11,Urban population annual growth (percent),Urban,,percent,,,United Nations Population Division,processed,,,,,,population
POP.RURAL,"Rural population, total",Rural,thousand,people,Rural population refers to people living in rural areas as defined by national statistical offices.,"United Nations Population Division, World Urbanization Prospects.",United Nations Population Division,raw,,,,,,population
POP.RURAL.SHP,Rural population (share of total population),Rural,,percent,,,United Nations Population Division,processed,,,,,,population
POP.RURAL.GR11,Rural population annual growth (percent),Rural,,percent,,,United Nations Population Division,processed,,,,,,population
POP.0014,"Population ages 0-14, total",Population 0-13,thousand,people,Population with age between 0 and 14 years.,"United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
POP.0014.SHP,Population ages 0-14 (share of total),Population 0-14,,percent,,,United Nations Population Division,processed,,,,,,population
POP.1564,"Population ages 15-64, total",Population 15-63,thousand,people,Population with age between 15 and 64 years.,"United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
POP.1564.SHP,Population ages 15-64 (share of total),Population 15-64,,percent,,,United Nations Population Division,processed,,,,,,population
POP.6500,"Population ages 65 and above, total",Population 65+,thousand,people,Population with age above 65.,"United Nations Population Division, World Population Prospects.",United Nations Population Division,raw,,,,,,population
